session_id,uid,tA,tB,dt
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:55.251479Z,2025-11-10T13:07:55.461325Z,-0.209846
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:55.515169Z,2025-11-10T13:07:55.461325Z,0.053844
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:55.515169Z,2025-11-10T13:07:55.499212Z,0.015957
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:55.515169Z,2025-11-10T13:07:55.723519Z,-0.20835
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:55.742750Z,2025-11-10T13:07:55.723519Z,0.019231
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:55.742750Z,2025-11-10T13:07:56.133544Z,-0.390794
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:56.097975Z,2025-11-10T13:07:56.133544Z,-0.035569
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:56.226749Z,2025-11-10T13:07:56.133544Z,0.093205
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:56.226749Z,2025-11-10T13:07:56.488127Z,-0.261378
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:56.463885Z,2025-11-10T13:07:56.488127Z,-0.024242
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:56.710291Z,2025-11-10T13:07:56.488127Z,0.222164
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:56.710291Z,2025-11-10T13:07:56.737650Z,-0.027359
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:57.017952Z,2025-11-10T13:07:56.737650Z,0.280302
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:57.017952Z,2025-11-10T13:07:57.148416Z,-0.130464
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:57.476501Z,2025-11-10T13:07:57.148416Z,0.328085
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:57.476501Z,2025-11-10T13:07:57.254138Z,0.222363
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:57.476501Z,2025-11-10T13:07:57.503642Z,-0.027141
